,E.C,TDS,Cl,NO3 ,Na,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L
0,745,476.8,60,42.27681818,49.0,48.0,38.896,279.9342105,1.273327902,2,-1.198684211
1,921,589.44,80,100.6590909,42.0,56.0,63.206,399.8930921,0.913165517,3,-3.397861842
2,510,326.4,30,41.47154545,45.0,24.0,38.896,219.9342105,1.319283964,2,-0.398684211
3,422,270.08,10,10.66986364,27.0,32.0,19.448,159.9671053,0.928155164,2,0.000657895
4,2321,1485.44,340,128.8436364,298.0,56.0,92.378,519.84375,5.682664477,0,-4.396875
5,1030,659.2,60,66.435,73.0,80.0,34.034,339.9424342,1.72144176,3,0.001151316
6,2129,1362.56,330,193.2654545,162.0,88.0,126.412,739.7861842,2.589608252,3,-7.995723684
7,982,628.48,40,144.9490909,85.0,48.0,43.758,299.9259868,2.133949028,3,-1.198519737
8,2420,1548.8,290,134.8831818,321.0,48.0,97.24,519.8355263,6.121307804,0,-1.996710526
9,250,160.0,30,24.3595,10.20021285,24.0,9.724,99.98355263,0.443523991,2,-0.846885217
10,1840,1177.6,380,159.444,150.3975766,64.0,106.964,599.8190789,2.669948378,3,-7.83894354
11,1550,992.0,140,11.29395,190.9923317,24.0,72.93,359.8766447,4.377349903,3,3.746380368
12,1390,889.6,170,70.864,161.8440782,24.0,68.068,339.8848684,3.816832154,3,0.401311253
13,2520,1612.8,280,735.214,235.1246184,24.0,165.308,739.7203947,3.758689678,0,-9.974771846
14,869,556.16,90,7.9722,72.64980488,40.0,43.758,279.9259868,1.887926173,3,0.192104435
15,782,500.48,60,219.2355,22.59306207,56.0,29.172,259.9506579,0.609258784,3,-2.914141488
16,2880,1843.2,480,210.3775,326.4744644,32.0,155.584,719.7368421,5.290960448,0,-3.192181337
17,490,313.6,40,0.4429,29.8891904,32.0,19.448,159.9671053,1.027474311,2,0.349816786
18,1010,646.4,110,95.2235,81.68477438,72.0,34.034,319.9424342,1.985534124,3,-1.433483162
19,460,294.4,30,0.8858,39.99707701,32.0,4.862,99.99177632,1.739074858,2,1.646980071
20,1081,691.84,160,141.728,85.27975782,64.0,43.758,339.9259868,2.011064218,3,-3.727793695
21,2080,1331.2,360,335.2753,68.17983978,120.0,145.86,899.7532895,0.98824908,3,-13.83228458
22,1290,825.6,130,57.35555,193.8426385,40.0,29.172,219.9506579,5.682753839,3,3.457967525
23,991,634.24,110,18.136755,73.11603375,72.0,38.896,339.9342105,1.724198853,3,-0.757371069
24,421,269.44,20,3.422409091,27.0,24.0,19.448,139.9671053,0.992254181,2,-0.599342105
25,404,258.56,40,22.145,16.0,24.0,24.31,159.9588816,0.550032013,2,-0.999177632
26,368,235.52,30,29.99640909,22.0,32.0,14.586,139.9753289,0.808479657,2,-0.599506579
27,1452,929.28,190,121.3948636,156.0,48.0,63.206,379.8930921,3.479894391,3,-2.397861842
28,819,524.16,60,37.42505,33.18059628,104.0,19.448,339.9671053,0.782416322,3,-1.299360911
29,1149,735.36,220,22.167145,164.4849717,72.0,9.724,219.9835526,4.821734384,3,-0.086244769
30,1194,764.16,110,58.68425,101.9418385,96.0,29.172,359.9506579,2.336162993,3,0.135571412
31,1445,924.8,170,52.7051,94.40207972,160.0,29.172,519.9506579,1.800000642,3,-2.425147394
32,779,498.56,60,10.164555,57.11590859,56.0,24.31,239.9588816,1.603100831,3,0.702779753
33,1379,882.56,160,118.6972,80.16061447,168.0,24.31,519.9588816,1.528441078,3,-4.069323019
34,1231,787.84,120,38.31085,105.3718166,80.0,43.758,379.9259868,2.35042897,3,0.128095032
35,839,536.96,90,52.04075,78.69718452,64.0,19.448,239.9671053,2.20879547,3,-0.245598886
36,2227,1425.28,520,39.45836364,282.0,88.0,77.792,539.8684211,5.276881116,3,-7.997368421
37,776,496.64,150,63.21390909,85.0,24.0,48.62,259.9177632,2.292308735,3,-3.198355263
38,1140,729.6,110,77.30618182,135.0,40.0,38.896,259.9342105,3.640610452,3,-1.398684211
39,624,399.36,100,45.09527273,92.0,24.0,19.448,139.9671053,3.381014248,2,-0.799342105
40,1027,657.28,140,41.67286364,107.0,64.0,34.034,299.9424342,2.686191595,3,-2.398848684
41,564,360.96,50,5.234272727,70.0,40.0,19.448,179.9671053,2.268682068,2,-0.799342105
42,1083,693.12,170,62.40863636,30.0,56.0,97.24,539.8355263,0.561387435,3,-6.996710526
43,973,622.72,100,62.81127273,165.0,48.0,5.0,120.0,6.548856666,3,1.6
44,1458,933.12,240,18.31995455,202.0,80.0,48.62,399.9177632,4.391755826,3,1.201644737
45,1234,789.76,140,22.74895455,165.0,24.0,34.034,199.9424342,5.073452757,3,2.201151316
46,1265,809.6,120,46.5045,200.0,24.0,38.896,219.9342105,5.863484282,3,1.801315789
47,742,474.88,120,43.68604545,52.0,64.0,29.172,279.9506579,1.351247058,2,-3.799013158
48,1087,695.68,150,82.54045455,112.0,56.0,38.896,299.9342105,2.811753112,3,-3.198684211
49,1057,676.48,150,62.81127273,114.0,56.0,58.344,379.9013158,2.542972223,3,-2.598026316
50,550,352.0,30,24.76213636,61.0,16.0,29.172,159.9506579,2.097050957,2,0.600986842
51,1664,1064.96,230,177.16,188.0,80.0,58.344,439.9013158,3.897197208,3,-4.198026316
52,923,590.72,110,72.87718182,114.0,48.0,34.034,259.9424342,3.07424464,3,-0.998848684
53,1053,673.92,110,46.30318182,133.0,48.0,34.034,259.9424342,3.586618747,3,0.201151316
54,307,196.48,20,5.435590909,42.0,8.0,19.448,99.96710526,1.826387374,2,0.600657895
55,1280,819.2,150,43.08209091,136.0,56.0,53.482,359.9095395,3.116839172,3,-1.198190789
56,1857,1188.48,340,26.574,214.0,80.0,63.206,459.8930921,4.338678745,3,-3.997861842
57,3290,2105.6,720,1.06296,714.8001947,32.0,4.862,99.99177632,31.0795473,0,7.416119755
58,2000,1280.0,340,149.92165,92.84248259,56.0,160.446,799.7286184,1.427406237,3,-8.867364649
59,2120,1356.8,390,21.812825,196.2029156,112.0,87.516,639.8519737,3.372390552,3,-5.138299807
60,2890,1849.6,600,68.2066,218.734442,120.0,165.308,979.7203947,3.038353229,0,-11.29554833
61,1304,834.56,190,77.9504,44.22634977,184.0,24.31,559.9588816,0.812596957,3,-5.279870517
62,2780,1779.2,370,134.6416,568.3305615,24.0,24.31,159.9588816,19.53750018,0,10.8837683
63,1266,810.24,180,183.13915,100.0220632,104.0,38.896,419.9342105,2.122156188,3,-4.519997771
64,583,373.12,30,46.5045,24.83216741,56.0,24.31,239.9588816,0.696976888,2,-0.831834654
65,1649,1055.36,260,153.90775,106.2358424,48.0,116.688,599.8026316,1.885988528,3,-5.98530079
66,3380,2163.2,570,154.5721,589.2740193,32.0,68.068,359.8848684,13.50540662,0,4.321995404
67,3260,2086.4,550,126.00505,409.5295499,80.0,131.274,739.7779605,6.546462941,0,-3.730803026
68,1685,1078.4,80,108.5105,279.7578626,40.0,34.034,239.9424342,7.852373252,3,4.996379813
69,1509,965.76,200,92.5661,87.94870116,120.0,63.206,559.8930921,1.616028589,3,-3.829276909
70,923,590.72,50,65.1063,75.48433963,56.0,38.896,299.9342105,1.895029704,3,0.017517975
71,1059,677.76,150,80.38635,33.46075998,80.0,63.206,459.8930921,0.678390131,3,-4.49551719
72,1305,835.2,220,77.5075,79.92125619,144.0,29.172,479.9506579,1.586120469,3,-4.618061875
73,1185,758.4,170,70.4211,107.3902156,88.0,34.034,359.9424342,2.461049525,3,-1.740947206
74,980,627.2,50,12.246185,70.54645356,40.0,58.344,339.9013158,1.663684335,3,1.030809203
75,985,630.4,70,52.97084,80.46929257,64.0,38.896,319.9342105,1.956014214,3,0.269266468
76,3590,2297.6,720,143.9425,409.1738344,112.0,97.24,679.8355263,6.823042712,0,-2.556707626
77,624,399.36,60,34.5462,42.2707476,80.0,4.862,219.9917763,1.239107169,2,-0.601634094
78,935,598.4,80,33.88185,77.92151393,88.0,19.448,299.9671053,1.956107552,3,0.131749487
79,1218,779.52,100,81.9365,106.1481337,88.0,38.896,379.9342105,2.367719913,3,0.005508256
